iter	Passed	Remaining
645	1935	1060
646	1938	1057
647	1941	1054
648	1943	1051
649	1946	1048
650	1949	1045
651	1952	1041
652	1954	1038
653	1957	1035
654	1960	1032
655	1963	1029
656	1965	1026
657	1968	1023
658	1971	1019
659	1974	1016
660	1977	1014
661	1980	1011
662	1983	1008
663	1987	1005
664	1990	1002
665	1993	999
666	1996	996
667	1999	993
668	2003	991
669	2006	988
670	2009	985
671	2013	982
672	2016	979
673	2020	977
674	2023	974
675	2026	971
676	2029	968
677	2032	965
678	2035	962
679	2038	959
680	2041	956
681	2045	953
682	2048	950
683	2051	947
684	2055	945
685	2058	942
686	2061	939
687	2065	936
688	2068	933
689	2071	930
690	2074	927
691	2077	924
692	2080	921
693	2083	918
694	2085	915
695	2088	912
696	2091	909
697	2094	906
698	2097	903
699	2100	900
700	2103	897
701	2105	893
702	2108	890
703	2111	887
704	2113	884
705	2116	881
706	2119	878
707	2121	875
708	2124	871
709	2127	868
710	2129	865
711	2132	862
712	2135	859
713	2138	856
714	2141	853
715	2143	850
716	2146	847
717	2149	844
718	2151	841
719	2154	837
720	2157	834
721	2160	831
722	2163	828
723	2166	825
724	2168	822
725	2171	819
726	2174	816
727	2178	813
728	2181	811
729	2184	808
730	2187	805
731	2191	802
732	2194	799
733	2198	796
734	2201	793
735	2204	790
736	2207	787
737	2211	784
738	2214	782
739	2217	779
740	2220	776
741	2223	773
742	2227	770
743	2230	767
744	2234	764
745	2237	761
746	2240	758
747	2244	756
748	2247	753
749	2250	750
750	2254	747
751	2257	744
752	2260	741
753	2263	738
754	2266	735
755	2269	732
756	2273	729
757	2276	726
758	2279	723
759	2282	720
760	2284	717
761	2287	714
762	2290	711
763	2292	708
764	2295	705
765	2298	702
766	2301	699
767	2304	696
768	2307	693
769	2310	690
770	2313	687
771	2315	683
772	2318	680
773	2321	677
774	2324	674
775	2327	671
776	2330	668
777	2332	665
778	2335	662
779	2338	659
780	2340	656
781	2343	653
782	2346	650
783	2349	647
784	2351	644
785	2354	641
786	2357	638
787	2360	634
788	2362	631
789	2365	628
790	2368	625
791	2371	622
792	2374	619
793	2377	616
794	2380	613
795	2384	610
796	2387	608
797	2391	605
798	2394	602
799	2397	599
800	2400	596
801	2404	593
802	2407	590
803	2411	587
804	2414	584
805	2417	581
806	2421	579
807	2424	576
808	2427	573
809	2430	570
810	2433	567
811	2437	564
812	2440	561
813	2443	558
814	2447	555
815	2450	552
816	2453	549
817	2457	546
818	2461	543
819	2464	540
820	2467	537
821	2470	534
822	2473	531
823	2476	528
824	2478	525
825	2481	522
826	2484	519
827	2487	516
828	2490	513
829	2493	510
830	2495	507
831	2498	504
832	2501	501
833	2504	498
834	2506	495
835	2509	492
836	2512	489
837	2515	486
838	2518	483
839	2521	480
840	2524	477
841	2527	474
842	2529	471
843	2532	468
844	2535	465
845	2538	462
846	2541	459
847	2543	455
848	2546	452
849	2549	449
850	2552	446
851	2554	443
852	2557	440
853	2560	437
854	2563	434
855	2566	431
856	2570	428
857	2574	426
858	2577	423
859	2580	420
860	2584	417
861	2587	414
862	2590	411
863	2594	408
864	2597	405
865	2600	402
866	2604	399
867	2607	396
868	2610	393
869	2613	390
870	2616	387
871	2620	384
872	2622	381
873	2625	378
874	2629	375
875	2632	372
876	2635	369
877	2638	366
878	2641	363
879	2644	360
880	2647	357
881	2651	354
882	2654	351
883	2657	348
884	2660	345
885	2663	342
886	2666	339
887	2669	336
888	2671	333
889	2674	330
890	2677	327
891	2679	324
892	2682	321
893	2685	318
894	2688	315
895	2691	312
896	2694	309
897	2696	306
898	2699	303
899	2702	300
900	2705	297
901	2708	294
902	2711	291
903	2713	288
904	2716	285
905	2719	282
906	2721	279
907	2724	276
908	2727	273
909	2730	270
910	2732	266
911	2735	263
912	2738	260
913	2740	257
914	2743	254
915	2746	251
916	2749	248
917	2751	245
918	2754	242
919	2757	239
920	2760	236
921	2764	233
922	2767	230
923	2770	227
924	2773	224
925	2777	221
926	2780	218
927	2783	215
928	2786	212
929	2789	209
930	2793	207
931	2796	204
932	2799	201
933	2802	198
934	2805	195
935	2809	192
936	2812	189
937	2815	186
938	2818	183
939	2821	180
940	2825	177
941	2828	174
942	2832	171
943	2835	168
944	2838	165
945	2841	162
946	2844	159
947	2847	156
948	2850	153
949	2853	150
950	2856	147
951	2859	144
952	2862	141
953	2865	138
954	2867	135
955	2870	132
956	2873	129
957	2875	126
958	2878	123
959	2881	120
960	2884	117
961	2887	114
962	2890	111
963	2893	108
964	2896	105
965	2898	102
966	2901	99
967	2903	95
968	2906	92
969	2909	89
970	2912	86
971	2914	83
972	2917	80
973	2920	77
974	2922	74
975	2925	71
976	2928	68
977	2931	65
978	2934	62
979	2936	59
980	2939	56
981	2941	53
982	2944	50
983	2947	47
984	2950	44
985	2953	41
986	2955	38
987	2959	35
988	2962	32
989	2965	29
990	2968	26
991	2971	23
992	2975	20
993	2978	17
994	2981	14
995	2985	11
996	2988	8
997	2992	5
998	2995	2
999	2998	0
